'Datetime','N','P','Z','D'
1.262297739000000000e+09,6.982435523590645454e-01,4.856954442494456625e-01,1.614025985540877617e+00,1.202035017850614063e+00
1.262297740000000000e+09,7.528139477898444509e-01,5.272040159243535085e-01,1.605898221187582520e+00,1.114083815098221297e+00
1.262297741000000000e+09,7.985397011111328158e-01,5.739865958506906729e-01,1.599173414835723062e+00,1.028300288202455448e+00
1.262297742000000000e+09,8.327180856413574084e-01,6.258920125521272304e-01,1.594194057537053677e+00,9.471958442694636826e-01
1.262297743000000000e+09,8.525972212540525730e-01,6.826426950849661113e-01,1.591363878614608485e+00,8.733962050463749405e-01
1.262297744000000000e+09,8.553760743778594522e-01,7.438346730381434346e-01,1.591147845662703064e+00,8.096414069212961584e-01
1.262297745000000000e+09,8.390363848845221462e-01,8.089166337578264088e-01,1.593958938742623399e+00,7.580880426150300444e-01
1.262297746000000000e+09,8.057008346956314737e-01,8.764415117671945366e-01,1.599991633385982492e+00,7.178660201511934957e-01
1.262297747000000000e+09,7.574043343950286333e-01,9.440624856210602101e-01,1.609731238263332198e+00,6.888019417205807349e-01
1.262297748000000000e+09,6.965118441023225859e-01,1.009297527489455115e+00,1.623476523891115297e+00,6.707141045171087779e-01
1.262297749000000000e+09,6.259012602081701626e-01,1.069558421155810235e+00,1.641297910459635467e+00,6.632424081763861334e-01
1.262297750000000000e+09,5.489634153742751765e-01,1.122150762016955072e+00,1.663037467833059280e+00,6.658483547757123588e-01
1.262297751000000000e+09,4.696020785333890335e-01,1.164273957083119093e+00,1.688308915549414868e+00,6.778150488340787261e-01
1.262297752000000000e+09,3.921891283482605295e-01,1.192916236893107440e+00,1.716550042748230975e+00,6.983445920104031091e-01
1.262297753000000000e+09,3.205313211060720757e-01,1.205953901450305343e+00,1.746959588400182284e+00,7.265551890434422955e-01
1.262297754000000000e+09,2.570672178757377191e-01,1.203835346510222504e+00,1.778229528541515503e+00,7.608679070725262727e-01
1.262297755000000000e+09,2.032506339811398777e-01,1.187669600589571495e+00,1.809176502710567735e+00,7.999032627187226963e-01
1.262297756000000000e+09,1.595714524409508339e-01,1.159062656548905723e+00,1.838796590131785758e+00,8.425693008783596838e-01
1.262297757000000000e+09,1.255556239686320130e-01,1.120117471592619207e+00,1.866265309715724907e+00,8.880615947230255935e-01
1.262297758000000000e+09,9.994892092760479518e-02,1.073718081249217082e+00,1.890864153323548846e+00,9.354688444996311913e-01
1.262297759000000000e+09,8.084412641276575440e-02,1.023691183398671267e+00,1.912050043903749996e+00,9.834146462848151193e-01
1.262297760000000000e+09,6.596757028212527074e-02,9.726214287662440228e-01,1.929755289560403542e+00,1.031655711391229246e+00
1.262297761000000000e+09,5.393167757754793734e-02,9.221467421684622634e-01,1.944024345836236067e+00,1.079897234417755758e+00
1.262297762000000000e+09,4.428632310800105498e-02,8.730053687521341921e-01,1.954994608229448039e+00,1.127713699910418921e+00
1.262297763000000000e+09,3.751883144955464600e-02,8.250358739943495223e-01,1.962896412193713802e+00,1.174548882362383972e+00
1.262297764000000000e+09,3.336946560690930846e-02,7.786686700790053095e-01,1.967952544693166272e+00,1.220009319620921184e+00
1.262297765000000000e+09,3.033905314489043076e-02,7.351556282671815046e-01,1.970372871920735403e+00,1.264132446667194598e+00
1.262297766000000000e+09,2.816638939005783673e-02,6.945121555094287968e-01,1.970446676526809826e+00,1.306874778573705598e+00
1.262297767000000000e+09,2.666624250090440448e-02,6.566800736945488381e-01,1.968442980036305467e+00,1.348210703768243368e+00
1.262297768000000000e+09,2.572669290004290371e-02,6.215300859750799711e-01,1.964610362796644472e+00,1.388132858328234631e+00
1.262297769000000000e+09,2.529306406981276720e-02,5.888837368788834015e-01,1.959176858742878613e+00,1.426646340308427074e+00
1.262297770000000000e+09,2.530072615881382922e-02,5.586097566574370621e-01,1.952345251149418370e+00,1.463744266034332719e+00
1.262297771000000000e+09,2.572584950089288128e-02,5.305592878611349317e-01,1.944294894794756923e+00,1.499419967843217183e+00
1.262297772000000000e+09,2.656559349639982248e-02,5.045905921921851611e-01,1.935187855090012787e+00,1.533655959221404075e+00
